430	0	496	24
377	1	409	51
432	61	506	90
433	109	498	137
433	157	487	184
444	188	503	214
442	214	512	243
441	242	509	266
441	266	511	291
443	329	501	355
387	275	414	350
387	357	419	431
422	599	464	692
155	43	191	139
184	29	218	135
216	47	244	140
244	42	272	136
268	47	298	138
298	33	334	135
326	24	366	136
360	47	391	120
385	63	412	129
156	167	198	273
212	169	252	278
246	163	284	259
280	166	321	267
317	170	359	280
354	166	388	258
383	164	411	242
392	490	422	569
361	485	392	568
320	478	358	571
258	465	302	573
192	454	237	579
165	469	198	578
141	493	169	556
359	607	411	768
322	602	362	752
285	606	325	724
245	609	288	731
204	609	252	745
164	610	211	746
441	369	501	395
442	351	505	370
444	395	501	413
444	407	506	438
448	453	516	478
453	476	536	506
453	500	517	525
446	520	508	546
447	542	512	568
492	561	536	598
