120	0	155	70
93	8	122	74
68	11	95	80
654	37	745	68
558	55	644	81
580	111	659	142
671	104	772	136
686	156	791	187
709	206	830	241
726	288	830	322
601	171	675	199
593	224	692	250
602	267	702	303
735	324	843	355
631	343	718	379
756	373	884	415
763	416	869	446
785	468	893	507
790	509	900	544
637	404	739	433
645	462	763	498
689	547	785	581
691	576	791	611
382	107	461	141
392	178	488	211
401	266	483	294
410	330	503	364
421	403	522	434
430	445	537	479
443	532	549	564
278	81	364	113
294	157	375	183
296	196	378	223
303	235	384	263
305	278	386	306
305	343	395	375
309	407	401	445
306	439	410	470
303	468	412	498
324	513	412	549
318	541	412	576
321	576	425	607
324	632	428	668
611	297	711	331
818	523	943	580
442	559	529	586
446	589	538	614
445	614	526	647
37	101	107	122
49	138	116	162
34	287	101	322
26	327	107	354
20	348	101	375
125	343	206	375
22	389	105	419
22	431	104	458
13	512	96	541
122	512	215	546
117	631	211	665
5	638	95	672
123	381	214	419
8	686	90	721
178	0	210	63
