534	22	616	65
106	7	202	54
246	2	326	46
108	52	207	94
137	94	212	136
117	131	206	173
118	169	220	217
112	213	213	260
123	292	224	339
249	43	327	83
251	82	331	123
250	119	356	165
253	158	351	204
254	199	348	247
258	241	352	287
259	281	357	331
266	329	347	370
394	34	495	83
428	78	504	116
427	116	507	155
411	230	514	277
413	276	517	322
444	318	525	358
449	360	527	403
558	349	638	392
555	269	631	309
553	225	636	265
556	145	634	191
544	100	646	145
724	113	807	155
729	154	805	193
715	271	814	320
721	353	818	403
