909	3	972	48
922	40	1002	81
908	71	1009	118
915	101	1015	147
926	140	1019	183
866	228	923	294
858	251	897	304
828	258	881	323
787	291	836	357
722	358	763	409
670	371	723	436
651	382	703	447
630	397	681	466
607	412	658	481
584	435	633	499
918	366	965	404
682	526	724	565
462	696	500	735
752	654	795	687
543	456	597	527
496	484	560	558
482	508	531	573
436	531	488	605
417	555	471	622
375	586	428	651
351	601	409	675
328	614	382	681
311	638	357	703
285	647	341	714
240	689	288	751
157	635	214	685
133	596	188	647
142	617	199	665
71	516	114	557
56	487	113	534
170	429	219	491
192	412	245	479
247	373	288	424
267	359	321	421
293	339	335	407
311	329	354	389
327	315	379	383
348	299	394	362
366	284	416	352
390	273	433	337
405	255	462	327
493	197	538	255
513	177	565	252
535	166	579	226
556	151	606	226
577	137	633	203
638	92	697	155
664	75	715	138
688	52	734	118
594	19	643	68
543	34	600	106
522	51	577	120
457	92	512	166
444	121	492	181
417	126	471	194
390	142	449	210
357	147	429	229
337	168	401	246
241	241	300	314
187	266	256	356
160	284	231	370
138	311	203	391
100	391	139	436
57	419	97	461
16	428	69	485
