11	221	60	246
82	247	127	269
168	221	218	242
280	218	325	242
124	248	161	267
158	249	197	272
195	251	233	274
271	254	319	279
323	258	371	284
405	237	453	263
458	239	561	277
428	217	476	241
364	144	406	164
363	119	414	147
382	68	421	90
385	33	432	58
418	72	473	103
576	36	633	74
677	18	703	67
707	9	733	46
509	145	537	193
526	557	559	610
480	673	516	718
618	438	643	479
648	472	676	515
362	243	411	274
828	427	869	452
933	414	971	438
963	467	991	505
859	397	902	424
828	14	923	45
996	50	1022	103
979	50	999	101
923	41	946	89
827	36	852	75
