597	33	707	73
599	69	693	105
601	152	712	191
603	204	712	250
600	246	729	291
609	282	734	331
612	326	751	385
612	381	744	431
610	433	742	460
609	457	725	497
610	489	775	539
613	536	748	585
613	575	742	627
616	624	738	682
522	337	575	481
477	359	527	489
435	368	484	497
385	365	449	502
356	395	400	508
311	375	366	507
277	370	326	510
237	385	281	517
192	389	247	526
165	404	210	531
98	426	143	544
59	430	104	546
29	436	69	552
533	526	585	672
432	536	475	712
385	543	439	685
336	543	387	678
291	550	349	685
250	554	300	689
210	566	256	691
163	563	219	720
121	573	171	718
69	572	127	723
0	586	43	710
