12	60	102	107
28	88	121	144
34	125	123	180
37	153	143	213
140	15	212	62
155	50	220	95
189	135	277	189
216	203	294	251
230	233	307	282
109	279	191	327
118	304	202	361
265	323	342	376
282	351	363	402
144	402	238	460
173	425	255	477
300	410	386	467
327	465	424	529
198	485	272	543
198	526	283	577
218	552	294	605
218	588	314	635
222	615	321	680
243	649	338	706
221	686	344	754
415	727	490	768
399	662	483	715
373	599	463	647
347	535	435	586
333	501	427	560
420	50	509	103
448	117	522	167
440	150	543	203
485	179	550	218
481	242	578	296
507	305	598	354
539	329	616	382
559	392	636	441
559	431	648	479
572	454	662	509
588	523	685	574
622	579	703	634
634	612	722	666
638	648	729	705
671	706	748	753
594	123	693	177
608	160	685	206
612	184	714	246
641	250	729	303
647	286	727	339
677	349	756	397
722	470	814	521
734	506	813	557
767	601	847	648
793	659	882	709
813	681	910	735
811	720	901	766
819	23	884	55
807	47	894	99
848	172	953	221
871	196	959	246
931	389	1015	441
951	417	1024	464
935	7	1024	54
