706	15	809	84
724	58	826	124
760	123	854	182
777	155	874	224
797	182	890	248
812	210	903	282
814	246	924	318
825	287	942	367
851	319	965	397
862	350	990	439
874	397	1007	483
890	438	1024	542
320	106	490	171
146	91	305	161
336	205	462	260
150	165	301	220
188	215	302	266
176	259	299	309
328	246	458	296
328	289	471	338
319	368	458	422
175	385	294	431
322	419	470	467
167	424	294	473
320	456	441	506
172	463	294	507
319	538	458	596
159	504	294	558
160	547	286	599
313	623	432	678
154	626	286	675
147	667	279	719
158	712	285	765
