396	22	421	63
371	55	391	93
18	68	70	95
32	178	66	207
21	198	56	223
407	106	429	148
395	159	418	198
376	193	398	236
426	203	443	244
382	304	405	347
418	302	439	345
350	297	377	397
332	410	367	448
290	407	321	435
270	427	309	448
230	417	263	449
206	434	249	456
326	465	350	507
315	506	338	545
306	546	331	585
291	611	314	649
201	539	243	566
238	451	275	472
206	451	243	466
635	53	678	73
745	56	810	88
804	63	845	85
876	65	922	88
992	164	1016	195
985	275	1006	314
990	193	1010	232
969	518	989	564
956	654	980	724
