47	179	121	280
94	170	162	259
140	169	205	240
195	160	256	256
250	153	306	236
341	153	407	234
385	141	451	229
428	141	506	237
480	130	547	226
524	123	599	222
572	126	636	214
625	116	692	204
679	127	750	222
731	120	797	203
780	117	850	204
834	117	899	203
877	110	946	204
694	295	762	399
648	296	714	379
595	295	669	395
552	320	610	408
504	404	572	501
504	302	575	395
458	312	519	402
398	310	477	411
392	426	463	517
342	431	411	528
279	441	359	543
243	438	312	533
200	428	272	521
309	316	387	415
266	315	338	409
