447	53	542	126
428	93	507	150
292	2	401	87
410	128	501	197
276	49	370	116
379	158	464	223
243	83	356	167
364	197	452	254
212	117	332	212
304	295	398	371
173	248	255	323
283	339	383	400
148	290	248	361
251	400	344	456
193	516	267	569
50	404	174	492
28	450	141	533
0	538	102	620
103	646	229	734
82	697	194	768
490	0	572	41
781	40	895	119
756	125	848	193
751	170	828	227
868	215	948	273
822	292	899	351
703	258	778	317
650	340	722	396
630	380	702	431
609	407	687	465
574	464	653	524
670	538	725	586
499	580	577	638
494	611	559	661
471	634	538	685
