942	0	1006	71
902	10	975	98
867	32	939	118
838	60	903	141
721	128	774	212
678	133	735	223
588	156	638	249
546	171	599	260
501	171	556	262
460	186	512	266
423	187	474	282
183	249	229	328
137	252	193	343
982	329	1024	422
937	339	988	429
894	339	947	432
853	343	904	442
807	365	864	452
768	363	816	455
722	366	775	459
688	391	738	472
642	386	699	464
569	399	619	490
423	425	476	501
378	419	433	520
332	434	385	524
288	432	338	518
242	444	296	533
203	448	252	544
159	442	212	537
117	458	169	541
76	468	129	557
34	472	84	568
